cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year
CEI-IN-D0CAC17200B7,MATS INSTITUTE OF MANAGEMENT & ENTREPRENURSHIP,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-1359,,2008
CEI-IN-CE59528973E4,"SRI RAGAVENDRA INSTITUTE OF D ED, CHIT",Standalone,Karnataka,Chikkaballapura,,2020-21,VERIFIED,S-13707,,2004
CEI-IN-E2107669CC45,SHANTHA COLLEGE OF PARA MEDICAL SCIENCES,Standalone,Karnataka,Chikkaballapura,,2020-21,VERIFIED,S-21816,,2021
CEI-IN-0041029B29B3,DR KTB SCHOOL OF NURSING,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-19938,,2003
CEI-IN-37A69E2D26C3,"SJVP POLYTECHNIC, HARIHAR",Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-14522,,2014
CEI-IN-514B13565B57,M S SCHOOL OF NURSING,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-19764,,-
CEI-IN-63C696EEE704,ROYALE CONCORDE TEACHER TRAINING INSTITUTE BANASHANKARI BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-6593,,2005
CEI-IN-A692898A5EA4,NANJAMMA TEACHER TRAINING INSTI KOLAR,Standalone,Karnataka,Chikkaballapura,,2020-21,VERIFIED,S-6535,,2004
CEI-IN-81505473210E,MAHILA VIDYAPEETHA TTI FOR WOMEN DHARWAD,Standalone,Karnataka,Dharwad,,2020-21,VERIFIED,S-6500,,1949
CEI-IN-453E52C6C28D,CHIKODI TALUKA EDUCATION SOCIETYS TEACHER TRAINING BELGAUM,Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-6323,,2004
CEI-IN-1BDD0E209FE5,SIDDHARTH COLLEGE OF PHARMACY ATHANI,Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-19573,,2019
CEI-IN-67164D624FE2,SHASHANK PARA MEDICAL COLLEGE,Standalone,Karnataka,Ballari,,2020-21,VERIFIED,S-19531,,2005
CEI-IN-9234E2DFB75F,SHREE RAMA KRISHNA INSTITUTE OF PARAMEDICAL SCIENCES CHITRADURGA,Standalone,Karnataka,Chitradurga,,2020-21,VERIFIED,S-19528,,2018
CEI-IN-7B25C59D286C,BAPUJI INSTITUTE OF PARAMEDICAL SCIENCES,Standalone,Karnataka,Chitradurga,,2020-21,VERIFIED,S-20348,,-
